DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170175,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.27,1259333
59170175,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.44,1259333
59170175,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.39,1259333
59170177,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.19,802456
59170177,Redfern Park,"Leighton Rd, Victoria, BC V8R 4W7",0.38,802456
59170177,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.38,802456
59170177,Agamemnon and Eleni Kasapi Park,"1850 Leighton Rd, Victoria, BC V8R",0.38,802456
59170177,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.46,802456
59170177,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.48,802456
59170178,Redfern Park,"Leighton Rd, Victoria, BC V8R 4W7",0.19,1077058
59170178,Agamemnon and Eleni Kasapi Park,"1850 Leighton Rd, Victoria, BC V8R",0.19,1077058
59170178,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.31,1077058
59170178,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.5,1077058
59170179,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.15,912374
59170179,Agamemnon and Eleni Kasapi Park,"1850 Leighton Rd, Victoria, BC V8R",0.31,912374
59170179,Redfern Park,"Leighton Rd, Victoria, BC V8R 4W7",0.32,912374
59170179,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.48,912374
59170180,Redfern Park,"Leighton Rd, Victoria, BC V8R 4W7",0.15,1444451
59170180,Agamemnon and Eleni Kasapi Park,"1850 Leighton Rd, Victoria, BC V8R",0.15,1444451
59170181,Redfern Park,"Leighton Rd, Victoria, BC V8R 4W7",0.32,1034612
59170181,Agamemnon and Eleni Kasapi Park,"1850 Leighton Rd, Victoria, BC V8R",0.33,1034612
59170197,Redfern Park,"Leighton Rd, Victoria, BC V8R 4W7",0.69,1344632
59170198,Redfern Park,"Leighton Rd, Victoria, BC V8R 4W7",0.36,1186784
59170198,Agamemnon and Eleni Kasapi Park,"1850 Leighton Rd, Victoria, BC V8R",0.38,1186784
59170199,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.17,1330660
59170199,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.48,1330660
59170200,Abkhazi Garden,"1964 Fairfield Rd, Victoria, BC V8S 1H2",0.4,1457357
59170201,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.36,1862585
59170201,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.44,1862585
59170201,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.34,1862585
59170202,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.24,1550804
59170202,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.24,1550804
59170202,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.33,1550804
59170203,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.14,1300673
59170203,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.14,1300673
59170203,Gonzales Park,"1809 Crescent Rd, Victoria, BC V8S 2G6",0.31,1300673
59170203,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.46,1300673
59170203,Abkhazi Garden,"1964 Fairfield Rd, Victoria, BC V8S 1H2",0.5,1300673
59170204,Gonzales Park,"1809 Crescent Rd, Victoria, BC V8S 2G6",0.25,1727751
59170204,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.3,1727751
59170204,Abkhazi Garden,"1964 Fairfield Rd, Victoria, BC V8S 1H2",0.19,1727751
59170204,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.3,1727751
59170224,Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.38,732699
59170225,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.39,1138123
59170226,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.5,1003121
59170227,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.28,774338
59170227,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.36,774338
59170228,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.15,1077533
59170228,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.32,1077533
59170229,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.27,1313463
59170272,Gonzales Park,"1809 Crescent Rd, Victoria, BC V8S 2G6",0.34,1531335
59170272,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.43,1531335
59170272,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.43,1531335
59170273,Brooke Street Park,"1425 Brooke St, Victoria, BC V8S 1M4",0.19,1390356
59170273,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.29,1390356
59170273,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.35,1390356
59170273,Moss Rock Park,"Moss Rock Park, May Street & Memorial Crescent, Victoria, BC V8S 3J6",0.5,1390356
59170273,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.46,1390356
59170273,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.46,1390356
59170274,Brooke Street Park,"1425 Brooke St, Victoria, BC V8S 1M4",0.32,1354646
59170274,Moss Rock Park,"Moss Rock Park, May Street & Memorial Crescent, Victoria, BC V8S 3J6",0.22,1354646
59170274,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.46,1354646
59170274,Bushby Park,"160 Bushby St, Victoria, BC V8S 3H8",0.38,1354646
59170274,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.46,1354646
59170275,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.36,2250456
59170275,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.1,2250456
59170275,Brooke Street Park,"1425 Brooke St, Victoria, BC V8S 1M4",0.17,2250456
59170275,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.48,2250456
59170275,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.48,2250456
59170275,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.35,2250456
59170275,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.37,2250456
59170275,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.46,2250456
59170275,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.48,2250456
59170276,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.54,1296327
59170277,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.3,1603164
59170277,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.36,1603164
59170278,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.35,984172
59170279,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.52,1357393
59170280,The Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4",0.6,1365597
59170280,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.7,1365597
59170281,The Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4",0.51,769011
59170282,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.28,1685793
59170282,The Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4",0.29,1685793
59170282,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.33,1685793
59170285,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.7,920651
59170286,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.49,1063124
59170286,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.5,1063124
59170287,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.38,713505
59170288,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.32,1054632
59170288,Moss Rock Park,"Moss Rock Park, May Street & Memorial Crescent, Victoria, BC V8S 3J6",0.47,1054632
59170288,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.5,1054632
59170289,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.61,1115378
59170290,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.3,1198557
59170290,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.22,1198557
59170291,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.27,1402114
59170291,Moss Rock Park,"Moss Rock Park, May Street & Memorial Crescent, Victoria, BC V8S 3J6",0.4,1402114
59170291,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.49,1402114
59170291,Bushby Park,"160 Bushby St, Victoria, BC V8S 3H8",0.41,1402114
59170291,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.45,1402114
59170291,Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",0.46,1402114
59170292,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.26,1494601
59170292,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.35,1494601
59170292,Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",0.4,1494601
59170292,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.41,1494601
59170293,Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",0.24,1553438
59170293,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.35,1553438
59170293,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.28,1553438
