DAUID,Target_name,Target_address,Distance (km)
59170387,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.5
59170388,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.3
59170389,Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",0.33
59170389,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.45
59170390,Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",0.31
59170554,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.19
59170555,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.04
59170556,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.36
59170557,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",1.52
59170558,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",1.22
59170598,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.61
59170600,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.25
59170601,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.25
59170610,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.62
59170611,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.7
59170612,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",1.82
59170722,Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1",0.38
59170722,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.43
59170722,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.48
59170723,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.43
59170806,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",0.87
59170808,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.04
59170814,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.44
59170816,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.58
59170816,Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",0.08
59170817,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.42
59170819,Lime Bay Park,"10 Cooperage Pl, Victoria, BC V9A 7J9",0.19
59170819,Songhees Beach,"60 Songhees Walkway, Victoria, BC V9A 0A3",0.25
59170819,Songhees Park,"49 Songhees Rd, Victoria, BC V9A 7J4",0.32
59170819,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.47
59170819,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.49
59170820,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.44
59170820,Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1",0.1
59170820,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.29
