DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170281,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.35,769011
59170281,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.37,769011
59170281,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.47,769011
59170282,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.09,1685793
59170282,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.09,1685793
59170282,Greater Victoria Public Library - Central Branch,"735 Broughton St, Victoria, BC V8W 3H2",0.13,1685793
59170282,Victoria Bug Zoo,"631 Courtney St, Victoria, BC V8W 1B8",0.16,1685793
59170282,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.25,1685793
59170282,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.33,1685793
59170282,St. Ann's Academy and Auditorium National Historic Site,"	835 Humboldt St, Victoria, BC V8V 4W8",0.36,1685793
59170282,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.36,1685793
59170282,The Coda,"751 View St, Victoria, BC V8W 1J9",0.36,1685793
59170282,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.45,1685793
59170285,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.32,920651
59170286,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.14,1063124
59170287,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.15,713505
59170288,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.31,1054632
59170289,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.34,1115378
59170289,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.36,1115378
59170290,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.28,1198557
59170291,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.6,1402114
59170292,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.68,1494601
59170293,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.87,1553438
59170294,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",1.04,1514264
59170295,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.31,1616849
59170296,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.57,1172227
59170297,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.36,826680
59170297,St. Ann's Academy and Auditorium National Historic Site,"	835 Humboldt St, Victoria, BC V8V 4W8",0.46,826680
59170298,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.3,980853
59170298,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.34,980853
59170298,St. Ann's Academy and Auditorium National Historic Site,"	835 Humboldt St, Victoria, BC V8V 4W8",0.35,980853
59170298,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.36,980853
59170298,Victoria Bug Zoo,"631 Courtney St, Victoria, BC V8W 1B8",0.5,980853
59170299,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.36,2272240
59170299,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.36,2272240
59170299,St. Ann's Academy and Auditorium National Historic Site,"	835 Humboldt St, Victoria, BC V8V 4W8",0.38,2272240
59170299,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.38,2272240
59170300,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.66,1261434
59170301,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.59,1612156
59170302,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.13,1842992
59170302,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.36,1842992
59170302,St. Ann's Academy and Auditorium National Historic Site,"	835 Humboldt St, Victoria, BC V8V 4W8",0.38,1842992
59170302,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.38,1842992
59170302,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.67,1842992
59170303,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.32,1486477
59170304,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.38,11899778
59170305,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.15,1650632
59170308,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.42,1959497
59170309,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.28,1559418
59170309,Dino Lab Inc.,"3 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.35,1559418
59170310,Dino Lab Inc.,"3 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.13,1021826
59170310,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.45,1021826
