DAUID,Target_name,Target_address,Distance (km)
59170385,Sumas Park,"530 Sumas St, Victoria, BC V8T 4S3",0.21
59170385,Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9",0.32
59170386,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.2
59170386,Cecelia Ravine Park,"475 Burnside Rd E, Victoria, BC V8T 2X2",0.42
59170386,Selkirk Green Park,"350 Waterfront Crescent, Victoria, BC V8T 5K3",0.43
59170386,Balfour Playlot,"74 Chown Pl, Victoria, BC V9A 1H5",0.49
59170386,Sumas Park,"530 Sumas St, Victoria, BC V8T 4S3",0.34
59170387,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.0
59170387,Cecelia Ravine Park,"475 Burnside Rd E, Victoria, BC V8T 2X2",0.37
59170387,Balfour Playlot,"74 Chown Pl, Victoria, BC V9A 1H5",0.41
