DAUID,DA_address,Target_name,Target_address,Distance (km)
59170273,"339 Stannard Ave, Victoria, BC V8S 3M3",Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.46
59170274,"1322 D Thurlow Rd, Victoria, BC V8S 1L6",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.29
59170274,"1331 Vimy Pl, Victoria, BC V8S 1C5",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.38
59170274,"1423 Fairfield Rd, Victoria, BC V8S 1E6",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.47
59170275,"1315 Richardson St, Victoria, BC V8S 1P6",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.26
59170275,"1329 Minto St, Victoria, BC V8S 1P3",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.2
59170275,"441 Stannard Ave, Victoria, BC V8S 3M6",Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.26
59170275,"441 Stannard Ave, Victoria, BC V8S 3M6",Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.47
59170275,"441 Stannard Ave, Victoria, BC V8S 3M6",Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.48
59170275,"524C St Charles St, Victoria, BC V8S 3N7",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.46
59170275,"711 Robleda Crescent, Victoria, BC V8S 3K6",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.39
59170276,"614 Cornwall St, Victoria, BC V8V 4L1",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.17
59170276,"801 Langham Ct, Victoria, BC V8V 4J3",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.41
59170277,"1310 Rockland Ave, Victoria, BC V8S 1V5",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.37
59170277,"1314 Manor Rd, Victoria, BC V8S 2A2",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.34
59170278,"1012 Pentrelew Pl, Victoria, BC V8V 4J4",École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.37
59170279,"1144 Rockland Ave, Victoria, BC V8V 3H7",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.38
59170280,"1020 Richardson St, Victoria, BC V8V 3C5",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.25
59170280,"1138 McClure St, Victoria, BC V8V 3G2",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.41
59170281,"1019 Rockland Ave, Victoria, BC V8V 3H6",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.12
59170282,"929 Burdett Ave, Victoria, BC V8V 3G6",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.55
59170285,"1027 Collinson St, Victoria, BC V8V 3B9",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.39
59170286,"1030 Pendergast St, Victoria, BC V8V 2X2",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.69
59170286,"1038 Harling Ln, Victoria, BC V8V 3T6",Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.57
59170287,"419 Chester Ave, Victoria, BC V8V 4B9",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.42
59170288,"1255 Oscar St, Victoria, BC V8V 2X6",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.18
59170288,"354 Chester Ave, Victoria, BC V8V 4B6",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.44
59170289,"535 Su'it St, Victoria, BC V8V 4C3",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.4
59170290,"1017 Oliphant Ave, Victoria, BC V8V 2T9",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.76
59170290,"1147 Oxford St, Victoria, BC V8V 2V2",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.55
59170291,"1236 Chapman St, Victoria, BC V8V 2T8",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.43
59170291,"135 Howe St, Victoria, BC V8V 4K5",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.64
59170292,"1125 Faithful St, Victoria, BC V8V 2R5",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.9
59170292,"127 Cambridge St, Victoria, BC V8V 4B1",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.73
59170292,"45 Cambridge St, Victoria, BC V8V 4A7",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.94
