DAUID,Target_name,Target_address,Distance (km)
59170310,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.45
59170311,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.45
59170312,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.24
59170312,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.37
59170313,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.24
59170313,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.27
59170371,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",1.56
59170371,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",1.47
59170372,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",1.25
59170373,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",1.29
59170375,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",1.19
59170376,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",1.25
59170378,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",1.15
59170383,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.6
59170383,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.41
59170384,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.54
59170385,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.39
59170386,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.12
59170387,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.2
59170388,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.45
59170389,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.71
59170390,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.8
59170554,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.97
59170555,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.91
59170555,Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",0.9
59170556,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.16
59170556,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.38
