DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170598,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.31,970445
59170600,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.34,824751
59170601,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.24,973857
59170601,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.39,973857
59170601,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.46,973857
59170610,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.17,1773627
59170611,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.02,878987
59170612,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.14,1408020
59170612,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.15,1408020
59170722,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.27,1046000
59170723,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.26,950552
59170805,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.7,619204
59170805,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.07,619204
59170806,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.59,804136
59170807,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.7,1302777
59170808,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.5,971891
59170809,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.61,692965
59170810,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.35,432522
59170811,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.9,1265739
59170814,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.96,891064
59170814,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.8,891064
59170815,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.43,779350
59170816,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.32,1287572
59170816,Wholesale Club Viewfield Road,"846 Viewfield Rd, Victoria, BC V9A 4V1",0.72,1287572
59170817,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.3,680343
59170819,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.75,1005417
59170820,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.36,902809
