DAUID,Target_name,Target_address,Distance (km)
59170301,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.12
59170302,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.48
59170303,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.28
59170303,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.35
59170304,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.17
59170304,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.39
59170305,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.17
59170305,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.38
59170308,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.4
59170309,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.25
59170310,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.42
59170311,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.54
59170312,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.46
59170313,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.27
59170371,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.36
59170371,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.38
59170372,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.4
59170372,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.35
59170372,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.29
59170373,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.14
59170373,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.27
59170373,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.49
59170375,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.16
59170375,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.24
59170376,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.31
59170378,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.52
59170383,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.84
59170383,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.39
59170384,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.48
59170385,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.55
59170386,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.35
59170387,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.44
59170388,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.71
59170389,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.6
59170389,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.78
59170389,Tillicum Elementary School,"3155 Albina St, Victoria, BC V9A 1Z6",0.81
59170390,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.58
59170554,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.45
59170555,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.41
59170556,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.31
59170557,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.34
59170558,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.39
59170598,St. Michaels University School ,"3400 Richmond Rd, Victoria, BC V8P 4P5",0.41
59170600,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.53
59170601,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.6
59170601,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.65
59170610,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.3
59170610,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.36
59170611,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.44
59170612,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.66
59170722,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.18
59170722,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.38
59170723,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.29
59170723,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.49
59170805,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",1.05
59170805,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",1.27
59170806,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.85
59170807,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.98
59170808,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.61
59170809,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.77
59170810,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.71
59170811,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.74
59170814,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.49
59170815,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.45
59170816,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.14
59170816,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.39
59170816,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.22
59170817,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.31
59170819,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.9
59170820,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.28
59170820,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.17
