DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170371,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.38,1029176
59170372,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.4,984319
59170372,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.35,984319
59170372,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.29,984319
59170373,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.14,965773
59170373,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.27,965773
59170373,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.49,965773
59170375,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.16,994132
59170375,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.24,994132
59170376,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.31,1032131
59170378,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.52,1765680
59170383,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.84,1008114
59170383,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.38,1008114
59170384,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.48,667343
59170385,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.55,1429892
59170386,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.35,1708097
59170387,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.44,669043
59170388,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.71,904377
59170389,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.6,1037755
59170389,Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",0.78,1037755
59170389,Tillicum Elementary School,"3155 Albina St, Victoria, BC V9A 1Z6",0.81,1037755
59170390,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.58,1346304
59170554,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.45,1526738
59170555,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.41,1592567
59170556,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.31,1638956
59170557,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.34,1757910
59170558,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.39,1734242
59170598,St. Michaels University School ,"3400 Richmond Rd, Victoria, BC V8P 4P5",0.41,970445
59170600,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.53,824751
59170601,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.6,973857
59170601,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.65,973857
59170610,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.3,1773627
59170610,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.36,1773627
59170611,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.44,878987
59170612,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.66,1408020
59170722,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.18,1046000
59170722,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.38,1046000
59170723,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.29,950552
59170723,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.49,950552
59170806,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.85,804136
59170808,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.61,971891
59170814,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.49,891064
59170816,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.14,1287572
59170816,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.39,1287572
59170816,Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",0.22,1287572
59170817,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.31,680343
59170819,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.9,1005417
59170820,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.28,902809
59170820,Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",0.17,902809
